[0.09909131 0.03502435]
[0.0499716  0.89876294]
[0.51258858 0.64068192]
[0.96718258 0.59163577]
[0.40971224 0.55986067]
[0.4452605 0.4172803]
[0.28205616 0.89202032]
[0.43525798 0.45339926]
[0.11761816 0.69372873]
[0.52587032 0.51482509]
[0.21897699 0.86645296]
[0.11046967 0.923299  ]
[0.98289668 0.55543945]
[0.64972561 0.66688705]
[0.77260977 0.95985515]
[0.24111827 0.48065208]
[0.0358363  0.41617584]
[0.94198181 0.74990978]
[ 0.846789   -0.01216468]
[0.8610502  0.88044925]
[0.17883671 0.37862929]
[0.23650616 0.95901071]
[0.37431667 0.7355571 ]
[0.48131647 0.87156709]
[0.11347312 0.02901419]
[0.11464385 0.60384068]
[0.66047975 0.62420213]
[0.07073309 0.2526108 ]
[0.94468407 0.10516298]
[0.4810281  0.81154921]
[0.10327985 0.74684519]
[0.86394317 0.79595757]
[0.52759338 0.57118194]
[0.20873979 0.2097535 ]
[0.63571209 0.07932525]
[0.62597925 0.58184488]
[0.58586857 0.30454705]
[0.64405696 0.8083031 ]
[0.63887209 0.3529507 ]
[0.96750148 0.46154479]
[0.35041699 0.36799062]
[0.75509192 0.0339925 ]
[0.62772111 0.53175866]
[0.60692148 0.40542352]
[0.10127878 0.41032599]
[0.61980246 0.68152443]
[0.63607734 0.53436874]
[0.45543367 0.36686933]
[0.77055093 0.32502252]
[0.83065566 0.78942959]
[0.42057261 0.41777803]
[0.06183535 0.12606517]
[0.43586012 0.24264976]
[0.47953477 0.13449556]
[0.03245845 0.2512892 ]
[0.42954489 0.58570976]
[0.45006183 0.5807791 ]
[0.04436579 0.68219837]
[0.77106808 0.08641251]
[0.36248487 0.86486846]
[0.02848807 0.81663407]
[0.69578338 0.22849945]
[0.42184909 0.71457597]
[0.79438972 0.65982654]
[0.94935513 0.96916021]
[0.83387098 0.18765751]
[0.39896748 0.9300893 ]
[0.09590879 0.92233043]
[-0.00256133  0.54632805]
[0.02012086 0.75850115]
[0.66688172 0.08095807]
[0.4807825  0.06098994]
[0.81775773 0.12442592]
[0.13938414 0.72996154]
[0.79638813 0.08334472]
[0.40802637 0.96960217]
[0.17046443 0.60047462]
[0.65561616 0.1771673 ]
[0.48432461 0.58275293]
[0.07374729 0.6842547 ]
[0.38332528 0.04537784]
[0.1511492  0.64443595]
[0.78234652 0.652685  ]
[0.55063049 0.16184474]
[0.29694464 0.22357448]
[0.86417307 0.65023357]
[0.60984555 0.19940413]
[0.06898164 0.73651618]
[0.36675281 0.33620437]
[0.68199659 0.51557805]
[0.79974254 0.35753035]
[0.63901928 0.96174094]
[0.38268373 0.185383  ]
[0.15682343 0.93529313]
[0.47009834 0.52138214]
[0.78839999 0.80978972]
[0.8650379  0.23185663]
[0.74645141 0.57086289]
[0.19766331 0.3501672 ]
[0.65760046 0.76221865]
[0.70300119 0.34840996]
[0.53406826 0.79321213]
[0.52570856 0.26095972]
[0.58318246 0.7860013 ]
[0.76570778 0.68977077]
[0.92632194 0.28945849]
[0.9322986  0.98875652]
[0.5025378  0.53263707]
[0.92303391 0.20859723]
[0.98258682 0.26727237]
[0.90004722 0.51334287]
[0.1428471  0.15218585]
[0.23383613 0.45036953]
[0.04373789 0.56537774]
[0.46849883 0.9640903 ]
[0.78682882 0.09827625]
[0.34383615 0.42607155]
[0.31174516 0.44731235]
[0.24653726 0.07987781]
[0.62863579 0.45285483]
[0.91141757 0.28466857]
[0.6904281  0.38188844]
[0.71334187 0.11673068]
[0.94896352 0.30226737]
[0.11083028 0.73745819]
[0.95760999 0.93938035]
[0.91553361 0.59306328]
[0.33320721 0.20599771]
[0.31677646 0.79493512]
[0.91864734 0.88937964]
[0.20720494 0.0222002 ]
[0.98943927 0.31914902]
[0.56796074 0.9323382 ]
[0.84790685 0.49205216]
[0.32733457 0.64543442]
[0.87371418 0.32562237]
[0.97142779 0.88730258]
[0.61460803 0.97355734]
[0.43323498 0.70466891]
[0.24497411 0.31200642]
[0.57697377 0.27822206]
[0.90773989 0.43806516]
[0.49098222 0.48902306]
[0.30966237 0.19104866]
[0.49797862 0.91491981]
[0.36876338 0.43955766]
[0.12446893 0.7746479 ]
[0.80113611 0.94643811]
[0.29214872 0.87651066]
[0.05141305 0.71515083]
[0.29596467 0.66309747]
[0.65763414 0.81125822]
[0.01232387 0.78116331]
[0.55469321 0.06467152]
[0.47796313 0.23870136]
[0.09606066 0.56697433]
[0.54785532 0.47231328]
[0.92374271 0.04711061]
[0.10936328 0.78980084]
[0.89964448 0.78390829]
[0.87868989 0.77622307]
[0.65273986 0.96880519]
[0.6263871  0.86081217]
[0.30815491 0.82685197]
[0.35307668 0.6739135 ]
