[ 0.20270139 -0.07420743]
[0.11742678 0.96876205]
[0.66231089 0.29343232]
[0.92827301 0.52104007]
[0.12418227 0.7202085 ]
[0.82070298 0.29598936]
[0.09645188 0.31492384]
[0.65677903 0.0352284 ]
[0.13913714 0.60083271]
[-0.02845853  0.534358  ]
[0.67282642 0.33284338]
[0.50107138 0.02624773]
[0.53762652 0.40637622]
[0.39303702 0.68426636]
[0.52703471 0.41125358]
[0.15251995 0.69559675]
[0.76513631 0.38291893]
[0.08658679 0.53518874]
[6.47593564e-01 5.50053195e-04]
[0.46425774 0.56933403]
[0.24348937 0.85940053]
[0.48030893 0.28324059]
[0.37617751 0.22206162]
[0.05428911 0.66549201]
[0.63679753 0.27839868]
[0.1270395 0.5140279]
[0.45063729 0.68711845]
[0.62595497 0.41347648]
[0.86161318 0.31918954]
[0.70851408 0.65208198]
[0.7213203  0.31204491]
[0.41278029 0.39428655]
[0.79022324 0.38959137]
[0.30488613 0.31767648]
[0.9571273 0.2411023]
[0.93256962 0.32474872]
[0.2897657  0.10687039]
[0.38801358 0.14329403]
[0.70561769 0.42629798]
[0.21093381 0.62775215]
[0.89965253 0.07979429]
[0.4155042  0.67459508]
[0.7243135 0.3748992]
[0.95397755 0.31095382]
[0.50407711 0.17731288]
[0.51310056 0.7932976 ]
[0.96260119 0.7782552 ]
[0.37152906 0.49244789]
[0.49949291 0.69918532]
[0.12482137 0.84635845]
[0.60614375 0.94214647]
[0.05108454 0.82940657]
[0.28155218 0.06520891]
[0.18809534 0.73618959]
[0.51674327 0.6763007 ]
[0.13646649 0.94897166]
[0.59712456 0.69585957]
[0.1244868  0.66196159]
[0.42249626 0.75231853]
[0.442039  0.7601867]
[0.37209106 1.02797149]
[0.1815985  0.28480097]
[0.9452189  0.77122332]
[0.75782298 0.25221408]
[0.19485386 0.00418501]
[0.68972786 0.64800224]
[0.70000293 0.11113779]
[0.04889862 0.87732862]
[0.38313199 0.60256181]
[0.56116881 0.68547236]
[0.39257786 0.03363873]
[0.72984982 0.46575155]
[0.01978894 0.63019312]
[0.74299277 0.5664188 ]
[0.51489001 0.46857088]
[0.37765348 0.49433869]
[0.76789339 0.09504542]
[0.44146748 0.91214568]
[0.41159014 0.60129921]
[0.96439217 0.11472558]
[0.77065161 0.92873762]
[0.35909193 0.61690274]
[0.64511144 0.41561391]
[0.25590953 0.42177592]
[0.74292773 0.02894336]
[0.58638609 0.49375208]
[0.78975811 0.39283422]
[0.52185415 0.19533262]
[1.06929046 0.57166755]
[0.75780805 0.82574949]
[0.520152   0.07111043]
[1.05994393 0.5135771 ]
[0.28708622 0.75090074]
[0.20445063 0.35942962]
[0.86223571 0.62945626]
[0.11139755 0.46373463]
[0.93330428 0.60495435]
[0.51895679 0.8657167 ]
[0.76560795 0.72472295]
[0.34304007 0.25729629]
[0.52919498 0.93824633]
[0.90032551 0.2400078 ]
[0.50797245 0.75267221]
[0.72790363 0.13422059]
[0.05659    0.77460167]
[0.21554161 0.61541641]
[0.4368582  0.28130808]
[0.59427008 0.71316228]
[0.86388936 0.27529632]
[0.47380595 0.71649297]
[0.30100465 0.70086469]
[0.49914547 0.24309918]
[0.20601004 0.96422538]
[0.58288819 0.00733598]
[0.98444301 0.55014161]
[0.55837055 0.94253478]
[0.57003284 0.85287949]
[0.53113128 0.78646649]
[0.44424765 0.69836574]
[0.64994385 0.25148274]
[0.79265309 0.35399509]
[0.78258039 0.53804934]
[0.05359038 0.79251214]
[0.28583634 0.86735451]
[0.87352643 0.24174464]
[0.29003121 0.38334769]
[0.60677581 0.41966908]
[0.63668366 0.59265671]
[0.39557029 0.41526978]
[0.80024408 0.69841971]
[0.79632322 0.07786557]
[0.40219213 1.01681736]
[0.88479754 0.19640576]
[0.73975013 0.35121169]
[0.88803909 0.67519119]
[0.02525477 0.30411133]
[0.96321502 0.54796883]
[0.30812299 0.3105807 ]
[0.03592567 0.62661645]
[0.18330502 0.59125629]
[0.68674348 0.50459222]
[0.82373635 0.59884563]
[0.13552925 0.42541958]
[0.63749715 0.58947595]
[0.54770553 0.47241168]
[0.41231401 0.63423558]
[0.08912824 0.86084836]
[0.44406058 0.85974411]
[0.8689437  0.21149721]
[0.76843646 0.25311112]
[0.80492589 0.56970668]
[0.02598006 0.5424176 ]
[0.65010215 0.69581635]
[0.2954349  0.57308022]
[0.84953676 0.62240022]
[0.87310786 0.47658387]
[0.2695573  0.88533558]
[0.34952369 0.73112419]
[0.23919624 0.19748151]
[0.78926838 0.77811636]
[0.23028464 0.35185048]
[0.19746046 0.32414386]
[0.53525616 0.83300198]
[0.60419511 0.45631321]
[0.66633945 0.19562797]
[0.62194677 0.28250729]
[0.80026093 0.37365022]
[1.01821177 0.43540292]
[0.1181182  0.63607073]
[0.52912236 0.59227395]
[0.12907227 0.12832501]
[0.32322918 0.5528946 ]
[0.31656813 0.00583882]
[0.44036573 0.41641341]
[0.53316425 1.00314608]
[0.75027955 0.63393756]
[0.67769264 0.38816061]
[0.34918363 0.03369962]
[0.072673   0.23822345]
[0.72253583 0.59502342]
[ 8.0099281e-01 -1.6646866e-04]
[0.47385793 0.47115972]
[0.84928973 0.5751874 ]
[0.29384497 0.79897206]
[0.59671061 0.74773799]
[0.93781775 0.63333128]
[0.41399597 0.53398929]
[0.11156696 0.21542222]
[0.51544965 0.46786892]
[0.38927047 0.54975341]
[0.15560941 0.57315254]
[0.60642982 0.91729268]
[0.5534166  0.96457688]
[0.63304663 0.39337034]
[0.5580448  0.18454217]
[0.57937093 0.59923589]
[0.04217122 0.23261887]
[0.56041703 0.50144777]
[0.0511378  0.56182287]
[0.56850193 1.02206773]
[0.65429812 0.36274256]
[0.48644913 0.39832439]
[0.45027596 0.58651565]
[0.58111426 0.99036952]
[0.17446702 0.28501225]
[0.42305619 0.58847234]
[0.29136045 0.32017054]
[0.48670567 0.40889133]
[0.19441172 0.61156601]
[0.3016165  0.37036622]
[0.36901245 0.24006924]
[0.46797695 0.10020988]
[0.24336867 0.93717357]
[0.74491345 0.3792557 ]
[0.03752194 0.21680792]
[0.13429692 0.4367335 ]
[0.58301966 0.44550015]
[0.15583896 0.4571592 ]
[0.54712117 0.25576082]
[0.57317208 0.78461047]
[0.45211026 0.91655261]
[0.17010095 0.75457107]
[0.93382247 0.90821905]
[0.32041011 0.4541224 ]
[0.38812577 0.58159281]
[0.66666917 0.30175338]
[0.40057951 0.53014321]
[0.19896697 0.74288235]
[0.58916608 0.00711535]
[0.38764465 0.6151684 ]
[0.69293156 0.56657834]
[0.04917029 0.27498712]
[0.63294861 0.14316824]
[0.94260285 0.12372789]
[0.31117493 0.64585748]
[0.965259   0.79657584]
[0.38208555 0.37115252]
[0.69800865 0.92394844]
[0.43661975 0.29424135]
[1.08187302 0.67928094]
[0.60418542 0.72354755]
[0.48126315 0.54243865]
[0.147277   0.65564943]
[0.55644301 0.77543488]
[0.15164118 0.38533515]
[0.8580386  0.77552172]
[0.55874103 0.90855505]
[0.12228129 0.46520502]
[0.74842276 0.21901882]
[ 0.4247306  -0.04036692]
[0.2050801  0.30377841]
[0.86927046 0.79889353]
